Proveedor,Nombre del curso (MAYUSC),Nombre del curso (MINUSC),Descripción del curso,Número de horas de la formación,Tipo de certificado,Temática,Grupo,Sector de oportunidad ocupacional,Palabras Clave,Nombre del curso
SENA,CALCULO E INTERPRETACIÓN DE INDICADORES FINANCIEROS,Cálculo e interpretación de indicadores financieros,"Este programa, se creó para brindar a los diferentes sectores productivos de la economía colombiana, la posibilidad de incorporar personal con altas calidades laborales y profesionales que contribuyan al desarrollo económico, social y tecnológico de su entorno y del país. Se requiere que el estudiante tenga conocimientos básicos en Contabilidad y estructuración de Estados Financieros, además del dominio de elementos básicos en el manejo de herramientas informáticas y de comunicación: correo electrónico, chats, Messenger, procesadores de texto, hojas de cálculo, software para presentaciones, Internet, navegadores y otros sistemas y herramientas tecnológicas necesarias para la formación virtual",40.0,Certificado de aprobación,Fórmate,Otros,Servicios financieros,ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS TOMA DE DECISIONES,CÁLCULO E INTERPRETACIÓN INDICADORES FINANCIEROS ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS TOMA DECISIONES
SENA,COCINA BÁSICA,Cocina básica,"La Cocina básica está orientada la adecuada aplicación de las técnicas básicas de manipulación, elaboración, métodos de cocción y presentación de platos, entre otros. En este curso se verán conceptos relacionados con la gastronomía, que les permita identificar y aplicar técnicas de manipulación, procesamiento, cocción, presentación de los alimentos, equipos, utensilios y vocabulario técnico. Los aprendices aprenderá a preparar alimentos conforme a la solicitud del cliente, conforme a la norma NTS USNA 001 del ministerio de Comercio, Industria y Turismo.",40.0,Certificado de aprobación,Fórmate,Otros,Turismo hoteles y gastronomía,COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART,COCINA BÁSICA COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART
SENA,,Cocina rápida,"Capacita a personas para sucapacita a personas para su posterior desempeño y aplicación en las diferentes aéreas del sector donde se requieran sus servicios o bien sea para montar sus propios negocios y así contribuir en fomentar fuentes de empleo y desarrollo de la población.
",60.0,Certificado de aprobación,Fórmate,Otros,Turismo hoteles y gastronomía,COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART,COCINA RÁPIDA COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART
SENA,COCINA SALUDABLE,Cocina saludable,"Cada vez más las personas están cambiando sus hábitos de alimentación, un grupo de estas personas preocupados por la salud, está en la búsqueda de alimentos más livianos, nutritivos y bajos en calorías, se  pretende promover e incentivar el consumo de vegetales frescos y procesados sin aditivos en la alimentación diaria a través de la capacitación en Cocina Saludable, la cual se basa en gran medida en lo que se denomina comúnmente Cocina Fría.",60.0,Certificado de aprobación,Fórmate,Otros,Turismo hoteles y gastronomía,COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART SALUDABLES ORGÁNICA,COCINA SALUDABLE COCINA BÁSICA GASTRONOMÍA COCINERO CHEF STEWART SALUDABLES ORGÁNICA
SENA,COMPORTAMIENTO EMPRENDEDOR,Comportamiento emprendedor," Las grandes empresas, con estructuras rígidas y producciones en serie, abrieron paso a pequeñas empresas con estructuras flexibles, que ofrecen bienes y servicios con un alto componente innovador, cambiando de este modo las reglas del juego en las economías del mundo. 
Por esa razón, resulta de gran importancia que el emprendedor desarrolle un comportamiento emprendedor en los diferentes ámbitos de su vida personal y profesional. Dicho comportamiento guía a los aprendices no sólo en la búsqueda de oportunidades sino en la articulación de los recursos humanos y físicos necesarios para tomar la iniciativa de convertir dicha oportunidad en una actividad empresarial.
La presente formación responde a la necesidad detectada en el diagnóstico realizado en el 2015 al 2018 a la gestión misional de Emprendimiento y Empresarismo, en el cual se encontró que no existía una formación específica dirigida al desarrollo de la actitud y comportamiento emprendedores en los aprendices SENA.  
En su lugar, se encontraron 474 programas que decían contener elementos relacionados con el emprendimiento, pero una vez fueron analizados a fondo, los programas se enfocaban en la formación de competencias contables, financieras y administrativas. Lo anterior, aunque no es erróneo, limita la comprensión del emprendimiento únicamente a la creación de empresas. Resultaba pertinente pues, crear una formación que tuviera como elemento clave el fomento de la actividad emprendedora desde el individuo y, que respondiera al desafío de desarrollar y fortalecer a las personas antes que a las empresas.
Este currículo es el resultado del trabajo realizado en el año 2019 por la Dirección de Formación, en conjunto con la Dirección de Empleo, Trabajo y Emprendimiento y con el apoyo de la Agencia de Cooperación alemana GIZ.
",48.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Industria (manufacturas), Logística y Transporte.","ADMINISTRACIÓN, EMPRENDEDOR, NEGOCIOS","COMPORTAMIENTO EMPRENDEDOR ADMINISTRACIÓN, EMPRENDEDOR, NEGOCIOS"
SENA,COMUNICACIÓN ASERTIVA Y EFECTIVA EN EQUIPOS DE TRABAJO,Comunicación asertiva y efectiva en equipos de trabajo,"Se ve la necesidad de ofrecer un curso en el cual se reflexione sobre las distintas maneras de comunicarnos claramente a nivel organizacional o social, en el que se estimule un comportamiento comunicacional asertivo en donde se reconoce la verdadera clave del éxito en el clima laboral, la cual reside en una comunicación asertiva que implica respeto a la hora de transmitir un mensaje. Es decir, no se trata de valorar solamente el talento propio sino también, el ajeno. De este modo es posible aprender de los demás teniendo en cuenta su opinión de una forma responsable consiente y madura para un óptimo desempeño en el contexto organizacional.",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","COMUNICACIÓN ASERTIVA EFECTIVA EQUIPOS HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,COMUNICACIÓN EN EQUIPOS DE TRABAJO,Comunicación en equipos de trabajo,"Este curso en el cual se reflexione sobre las distintas maneras de comunicarnos claramente a nivel organizacional, en el que se estimule un comportamiento comunicacional asertivo en donde se reconoce la verdadera clave del éxito en el clima laboral, la cual reside en una comunicación asertiva que implica respeto a la hora de transmitir un mensaje. Este programa esta dirigido a equipos de trabajo administrativo en empresas. Tiene como finalidad fortalecer las relaciones interpesonales, la comunicacion asertiva y el trabajo eficiente en los  equipos, promoviendo la interección idónea consigo mismo, con los demás y con la naturaleza en los contextos laborales y sociales.     ",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","COMUNICACIÓN EQUIPOS HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,,Conceptualizacion para la integración de plc en la automatización de sistemas industriales,"La industria 4.0 permite tener una comunicación en tiempo real con el cliente, ningún sector industrial puede omitir la automatización de sus procesos para aumentar la calidad de sus productos, reducir los tiempos de producción, realizar tareas complejas, reducir los desperdicios o las piezas mal fabricadas y especialmente aumentar la rentabilidad. Es así que la búsqueda por implementar procesos productivos automatizados, es cada vez más común en las plantas productivas, y para lograrlo,  la misma,  debe contar con elementos como: los sensores (electrónica), los actuadores (hidráulica o neumática), los PLC, (controladores lógicos programables), los dispositivos de control automático, las máquinas, las herramientas y el recurso humano; por lo que el SENA con el fin de satisfacer las necesidades del sector productivo y de la comunidad ofrece programas complementarios que brinden los fundamentos necesarios para que los interesados ahonden en los fundamentos de Integración de PLC en la automatización de sistemas industriales.
Está dirigido para un nivel de cualificación 2, Las funciones de las ocupaciones de este nivel son por lo general muy variadas, demandan responsabilidad de supervisión, un apreciable grado de autonomía y juicio evaluativo; se requiere generalmente de estudios técnicos o tecnológicos. Están empleados por universidades y otras instituciones de educación superior.
",48.0,Certificado de aprobación,Fórmate Digital,TI,"Industria (manufacturas), Hidrocarburos y energía - renovables, Logística y Transporte.","INDUSTRIAS, IOT, INTERNET DE LAS COSAS, ","CONCEPTUALIZACION INTEGRACIÓN PLC AUTOMATIZACIÓN SISTEMAS INDUSTRIALES INDUSTRIAS, IOT, INTERNET COSAS, "
SENA,,Conceptualización y estructuración de un plan de mercadeo,"Profundizar los conceptos básicos de mercado en productos y servicios, buscando organizar información estructurada para proyectos, apoyando su orientación.
Así mismo, se pretende que el aprendiz adquiera competencias en análisis, gestión en el tema de relación. Apoyar las empresas o unidades productivas, implementar los cambios internos y los trámites para hacer una emisión exitosa en el mercado.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Industria (manufacturas), Servicios financieros, Turismo, hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte. ","MARKETING, MERCADEO, B2B, PUBLICIDAD","CONCEPTUALIZACIÓN ESTRUCTURACIÓN UN PLAN MERCADEO MARKETING, MERCADEO, B2B, PUBLICIDAD"
SENA,CONSTRUCCIÓN DE BASES DE DATOS CON MYSQL,Construcción de bases de datos con mysql,"El SENA ofrece el programa de formación Bases de Datos con MySQL, con todos los elementos de formación profesional, sociales, tecnológicos y culturales, aportando como elementos diferenciadores, metodologías y plataformas para el desarrollo de software de calidad, con acceso a tecnologías de última generación y una estructuración sobre métodos más que contenidos, lo que potencia la formación de ciudadanos librepensadores, con capacidad crítica, solidaria y emprendedora, factores que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con las tendencias y cambios tecnológicos y las necesidades del sector empresarial y de los trabajadores, impactando positivamente la productividad, la competitividad, la equidad y el desarrollo del país.",48.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, Servicios financieros, BPO's, Logística y Transporte",SQL BASES DE DATOS ADMINISTRACIÓN DE BASES DE DATOS SISTEMAS INFORMACIÓN,CONSTRUCCIÓN BASES DATOS CON MYSQL SQL BASES DATOS ADMINISTRACIÓN BASES DATOS SISTEMAS INFORMACIÓN
SENA,CONTABILIDAD EN LAS ORGANIZACIONES,Contabilidad en las organizaciones,"En la actualidad aplicar los conceptos básicos de contabilidad en una organización es indispensable para su buen funcionamiento y administración de gastos y/o ganancias que esta provee.
Es por esta razón que el programa  ha sido creado con el fin de dar a conocer al aprendiz las generalidades de la contabilidad, normas y principios contables, conocimientos inherentes al correcto registro y contabilización de transacciones comerciales y generación de Estados Financieros Básicos, información importante de las organizaciones empresariales en la toma de decisiones. Está dirigido a personas que deseen aprender técnicas que se requieren para llevar a cabo procesos contables dirigidos a generar información para la toma de decisiones en las empresas y aumentar de esta forma su nivel de competitividad en el medio económico.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Industria (manufacturas), Servicios financieros, Hidrocarburos y energía - renovables, Logística y Transporte.","ANÁLISIS CONTABLE, ANÁLISIS FINANCIERO, COSTOS, CONTADOR","CONTABILIDAD ORGANIZACIONES ANÁLISIS CONTABLE, ANÁLISIS FINANCIERO, COSTOS, CONTADOR"
SENA,CONTROLES Y SEGURIDAD INFORMÁTICA,Controles y seguridad informática,"Este curso permite al aprendiz verificar la vulnerabilidad de la red contra ataques de acuerdo con las políticas de seguridad de la empresa.
Los controles hacen referencia a los mecanismos que se utilizan para poder controlar los accesos y privilegios a los recursos indicados.
Es responsabilidad del dueño del activo sobre el que se le aplican los controles establecer los parámetros requeridos para disponibilidad, confidencialidad e integridad; el experto en seguridad informática será el responsable de diseñar, configurar y hacer cumplir los parámetros dictados. Los principales modulos que se ven en este curso son: Auditoria a la administración de sistemas de información, Controles administrativos, Controles de aplicación, Seguridad informática

",40.0,Certificado de aprobación,Fórmate Digital,TI,"Servicios financieros, Software y TI",CONTROLES Y SEGURIDAD INFORMÁTICA SEGURIDAD ANTIVIRUS CIBERSEGURIDAD SOFTWARE,CONTROLES SEGURIDAD INFORMÁTICA CONTROLES SEGURIDAD INFORMÁTICA SEGURIDAD ANTIVIRUS CIBERSEGURIDAD SOFTWARE
SENA,CREACIÓN DE BASES DE DATOS CON MICROSOFT ACCESS,Creación de bases de datos con microsoft access,"El curso complementario se creó para brindar al sector productivo del País, la posibilidad de incorporar personal con altas calidades laborales y profesionales que contribuyan al desarrollo económico, social y tecnológico de su entorno y del país, así mismo ofrecer a los aprendices formación en las tecnologías relacionados con el desarrollo de bases de datos.
Es por esto que el SENA se mantiene a la vanguardia en la construcción de programas de formación complementaria que le den respuesta a las necesidades del sector productivo",40.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Servicios financieros, Turismo, hoteles y gastronomía, Logística y Transporte.",BODEGAS ACCES,CREACIÓN BASES DATOS CON MICROSOFT ACCESS BODEGAS ACCES
SENA,CREACIÓN DE CONTENIDO DIGITAL PARA REDES SOCIALES,Creación de contenido digital para redes sociales,"Los cambios del mercado, la globalización y los clientes hiperconectados, exigen que las marcas se comuniquen a través de diferentes medios digitales, en donde las redes sociales tienen mucha relevancia, por lo tanto, las TIC´s, resultan fundamentales para crear mensajes claros, dinámicos y llamativos, que permitan posicionar las marcas en los canales online.
El SENA a través del programa brinda a los empresarios, emprendedores y comerciantes, las herramientas para desarrollar contenidos digitales, a través de las redes sociales que cumplan con estas características, y fortalezcan el posicionamiento de las marcas.
",48.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Turismo, hoteles y gastronomía.",CREACION DE CONTENIDO DIGITAL PARA REDES SOCIALES MARKETING DIGITAL DISEÑO GRÁFICO,CREACIÓN CONTENIDO DIGITAL REDES SOCIALES CREACION CONTENIDO DIGITAL REDES SOCIALES MARKETING DIGITAL DISEÑO GRÁFICO
SENA,CREACIÓN DE UN PROYECTO AUDIOVISUAL TRANSGREDIR,Creación de un proyecto audiovisual transmedia,"Dadas las proyecciones, después de 2016 el problema de la escasez de talento de TI crece exponencialmente y no puede resolverse fácilmente. Por lo tanto el Gobierno de Colombia debe tomar serias medidas para superar la disponibilidad de talento y ver la efectividad de las medidas. Lo anterior, demuestra la necesidad actual y futura existente de formación de personal en tecnologías relacionadas con el sector de las TIC, las cuales han sido identificadas hacia desarrollos a la medida, programación, algoritmos, bases de datos, redes (Arquitectura Cliente Servidor), integración aplicada de las áreas, testing, la adaptación del software a mercados y sectores locales, tecnologías de seguridad digital o ciberseguridad, tecnologías de producción, gestión y manipulación de contenidos digitales sobre redes y plataformas digitales, fijas, móviles y convergentes, big data, SCRUM, tecnologías de seguridad, generación, gestión, producción y explotación de software en la nube, así como reforzar conocimiento en áreas de administración de proyectos, habilidades analíticas y fortalecer las habilidades blandas en áreas como la comunicación, trabajo en equipo, interacción con clientes e Inglés de Negocios.",40.0,Certificado de aprobación,Fórmate Digital,TI,Industrias creativas y comunicación gráfica,"DISEÑO PUBLICITARIO, CREACIÓN DE CONTENIDO","CREACIÓN UN PROYECTO AUDIOVISUAL TRANSMEDIA DISEÑO PUBLICITARIO, CREACIÓN CONTENIDO"
SENA,,Creación páginas web con bases de datos. php y mysql,"PHP y MySQL se imponen como una combinación poderosa para generar aplicaciones Web. Las aplicaciones escritas en PHP corren en el servidor y generan dinámicamente páginas en lenguaje HTML. MySQL es un servidor de Bases de Datos relacionales que se destaca por ser compacto, brindar un excelente desempeño y correr en múltiples plataformas. La inmensa y creciente popularidad de esta combinación se debe, por un lado, a su funcionalidad y facilidad de uso y, por otro lado, a que ambas herramientas se consiguen en Internet sin costo alguno.
",40.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, BPOs.",SQL BASES DE DATOS ADMINISTRACIÓN DE BASES DE DATOS SISTEMAS INFORMACIÓN,CREACIÓN PÁGINAS WEB CON BASES DATOS. PHP MYSQL SQL BASES DATOS ADMINISTRACIÓN BASES DATOS SISTEMAS INFORMACIÓN
SENA,CRM - ADMINISTRACIÓN DE RELACIÓN CON LOS CLIENTES,CRM - administración de la relación con los clientes,"En la actualidad las empresas deben cambiar el enfoque tradicional hacia el producto a un enfoque hacia el cliente. El medio ambiente en donde se mueven las empresas es muy competitivo por lo que es necesario que cada vez más se tenga un contacto directo con el cliente y que se le conozca perfectamente bien, brindándole un trato personalizado. El CRM es una estrategia que permitirá a las empresas, tener un contacto directo con los clientes y sus preferencias, logrando así una fidelizacion a la empresa y sus productos.",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, BPOs, Turismo, hoteles y gastronomía.","MANEJO DE CLIENTES, EMPRESAS, GESTIÓN DE CLIENTES","CRM - ADMINISTRACIÓN RELACIÓN CON CLIENTES MANEJO CLIENTES, EMPRESAS, GESTIÓN CLIENTES"
SENA,,Cuentas contables,"El presente programa tiene como fin brindar una estrategia metodológica e innovadora, que le permita a cualquier persona desarrollar sus habilidades de identificar la situación actual de las cuentas personales o de un negocio, así como su clasificación y registro de forma ordenada de las operaciones de ingresos y obligaciones pertinentes,para evitar fugas de dinero, problemas en el flujo de caja y desperdicio de oportunidades encaminadas a la expansión personal o empresarial, para la eficiente administración de nuestras actividades comerciales dando cumplimiento oportuno de las obligaciones fiscales y de todo movimiento a nivel de tesorería.
Se ofrecerá el programa,  con elementos de formación profesional, social, cultural y tecnológica. Centrada desde el hacer, incorporando los elementos cognitivos y actitudinales para desarrollar en el aprendiz competencias técnicas, cognoscitivas y comportamentales que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con los cambios tecnológicos, tendencias, necesidades del sector empresarial y de los mismos trabajadores. ",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Industria (manufacturas), Servicios financieros, Hidrocarburos y energía - renovables, Logística y Transporte.","ANÁLISIS CONTABLE, ANÁLISIS FINANCIERO, COSTOS, CONTADOR","CUENTAS CONTABLES ANÁLISIS CONTABLE, ANÁLISIS FINANCIERO, COSTOS, CONTADOR"
SENA,DESARROLLO DE BASES DE DATOS CON SQL,Desarrollo de bases de datos con sql,"El curso se creó para brindar al sector productivo del País, la posibilidad de incorporar personal con altas calidades laborales y profesionales que contribuyan al desarrollo económico, social y tecnológico de su entorno y del país, así mismo ofrecer a los aprendices formación en las tecnologías relacionados con el desarrollo de bases de datos.
Las bases de datos son una herramienta esencial en la sociedad moderna, ya que el almacenamiento de datos es un proceso que se realiza en cualquier tipo de organización y se debe contar con los mecanismos necesarios para encontrar y recuperar estos recursos de información.
Los Sistemas de Gestión de Bases de datos Relacionales trabajan a partir del lenguaje estructurado de consultas más conocido como SQL por sus siglas en ingles (Structured Query Language), y por tanto se hace necesario para cualquier actividad tanto de administración de base de datos como de programación de software, contar con personal capacitado en el uso de este lenguaje.
",40.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, Servicios financieros, BPO's, Logística y Transporte",SQL BASES DE DATOS ADMINISTRACIÓN DE BASES DE DATOS SISTEMAS INFORMACIÓN,DESARROLLO BASES DATOS CON SQL SQL BASES DATOS ADMINISTRACIÓN BASES DATOS SISTEMAS INFORMACIÓN
SENA,DESARROLLO DE CAMPAÑAS DE PROMOCIÓN EN REDES SOCIALES,Desarrollo de campañas de promoción en redes sociales,"En un entorno competitivo, donde el comercio está saturado por empresas que luchan por una cuota en el mercado, se hace necesario incorporar estrategias efectivas de marketing que permitan un posicionamiento en los canales digitales y así poder conectarse con un mundo globalizado, con consumidores dinámicos, cambiantes, que exigen información precisa e inmediata al momento de consumir. Es importante que las marcas conecten con los seguidores, entiendan sus emociones y preferencias, apostando de esta forma por campañas efectivas, haciendo uso de las herramientas de promoción y publicidad, disponibles en las redes sociales. El SENA a través del programa Desarrollo de campañas de promoción en redes sociales Brinda a los empresarios, emprendedores y comerciantes, las herramientas para desarrollar campañas con el fin de promocionar marcas, productos o servicios en las redes sociales, de forma efectiva",48.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Industria (manufacturas), Servicios financieros, Logística y Transporte, Industrias creativas y comunicación gráfica, Turismo hoteles y gastronomía","MARKETING, MERCADEO, B2B, PUBLICIDAD","DESARROLLO CAMPAÑAS PROMOCIÓN REDES SOCIALES MARKETING, MERCADEO, B2B, PUBLICIDAD"
SENA,"DESARROLLO DE HABILIDADES, PRINCIPIOS Y VALORES PARA LA VIDA Y EL TRABAJO","Desarrollo de habilidades, principios y valores para la vida y el trabajo","Las actuales circunstancias de la vida convocan a las instituciones que reflexionen y profundicen en el mejoramiento cualitativo y cuantitativo de la calidad de vida del ser humano. Por tanto el conocimiento y la praxis del crecimiento personal, fundamentado en el fortalecimiento de la ética y los valores universales como principios formadores del individuo, se convierten en tema relevante para analizar y evaluar en una sociedad que cada vez más se adentra en mayores problemas y crisis de diversa índole.
El programa de formación complementaria Etica: crecimiento personal e interacción social, permite avanzar en la reflexión en torno al comportamiento humano individual y colectivo como insumo fundamental para la inserción laboral",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","LIDERAZGO,HABILIDADES BLANDAS, GERENCIA, ADMINISTRACIÓN","DESARROLLO HABILIDADES, PRINCIPIOS VALORES VIDA LIDERAZGO,HABILIDADES BLANDAS, GERENCIA, ADMINISTRACIÓN"
SENA,,Desarrollo de la operación de importación y exportación según normativa aduanera,"El crecimiento permanente del Comercio Internacional, generado por las Políticas Aperturistas y de liberación de mercados, la globalización, el permanente intercambio comercial entre los países, sumado al incremento que se vive hoy en el establecimiento de tratados y acuerdos comerciales, obliga a los aprendices y empresarios a fortalecer sus conocimientos en todo lo concerniente al dominio y aplicación de normas y procedimientos aduaneros, cambiarios, logísticos, comerciales actualizados y otros más que requiera el sector del comercio internacional, mediante la implementación no sólo de una completa fundamentación teórica, sino con el apoyo de la gestión practica de todos los procesos que suceden en cada etapa de las regulaciones aduaneras, que le permitan desarrollar en forma exitosa la gestión de los procesos de importación, exportación, tránsito y mecanismos de apoyo al comercio internacional; imprimiendo en cada etapa el sentido de responsabilidad, transparencia, profesionalismo y ética en el desarrollo de estas actividades.",40.0,Certificado de aprobación,Fórmate,Otros,"Industria (manufacturas), Hidrocarburos y energía - renovables.","EXPORTACIÓN, MERCADOS, NEGOCIOS","DESARROLLO OPERACIÓN IMPORTACIÓN EXPORTACIÓN SEGÚN NORMATIVA ADUANERA EXPORTACIÓN, MERCADOS, NEGOCIOS"
SENA,DESARROLLO DE LA INTELIGENCIA EMOCIONAL EN LO PERSONAL Y LABORAL,Desarrollo de la inteligencia emocional en lo personal y laboral,"Este Programa brindará al aprendiz las herramientas necesarias para el
desarrollo de su inteligencia emocional, permitiéndole con ello una mejor toma de decisiones coherentes, maduras y conscientes para beneficio propio y el de los demás. Es así como; el manejo de las emociones en forma afirmativa, positiva, asertiva y resiliente, garantiza el éxito personal y empresarial, siendo esta la línea en que se desarrolla este Programa.
- Inteligencia emocional; Emociones, sentimientos y pensamientos; el comportamiento humano; presiones y toma de decisiones; cerebro emocional y racional; la Autoestima; teoría de las Inteligencias Múltiples; manejo de las Emociones y Autorrealización.",48.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","DESARROLLO INTELIGENCIA EMOCIONAL LO PERSONAL LABORAL HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,DISEÑAR PÁGINAS WEB CON HTML Y JAVASCRIPT,Diseñar páginas web con html y javascript,"Colombia es uno de los países que más utiliza el internet Según un análisis de la (Unión Internacional de Telecomunicaciones - UIT 2008), hasta el 2008 había alrededor de diez millones de usuarios de Internet, es lógico, pues somos un país abierto al cambio, somos parte de la actual Sociedad del Conocimiento, y gracias a la globalización hoy en día las organizaciones y las personas independientes quieren tener presencia en internet de una forma dinámica, agradable y fácil de realizar e interactuar. 
Por lo anterior, esta acción de formación nace como respuesta a tal necesidad, ya que el participante al finalizar el programa contará con los conocimientos, habilidades y competencias para gestionar de manera ágil y eficiente las herramientas y tecnologías disponibles en el mercado para diseñar y mantener sus páginas en Internet",40.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, BPOs.","MARKETING DIGITAL, MERCADEO, B2B, PUBLICIDAD","DISEÑAR PÁGINAS WEB CON HTML JAVASCRIPT MARKETING DIGITAL, MERCADEO, B2B, PUBLICIDAD"
SENA,DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD 2D,Diseño asistido por computador - autocad 2d,"Aplicación de Herramientas intermedias en la optimización de proyectos de dibujo asistido por computador, con los elementos de formación profesional, sociales, tecnológicos y culturales, metodologías de aprendizaje innovadoras, acceso a tecnologías de ultima generación, estructurado sobre métodos más que contenidos, lo que potencia la formación de ciudadanos librepensadores, con capacidad critica, solidarios y emprendedores, con formación centrada desde el hacer e incorporando los elementos cognitivos y actitudinales para desarrollar en el aprendiz competencias técnicas, cognoscitivas y comportamentales que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con las tendencias y cambios tecnológicos y las necesidades del sector empresarial y de los trabajadores, impactando positivamente la productividad, la competitividad, la equidad y el desarrollo del país. Los temas principales a trabajar son: Herramientas de edición de propiedades e inserción de archivos de dibujo en proyectos CAD; Herramientas para creación y edición de capas y bloques.",40.0,Certificado de aprobación,Fórmate Digital,TI,Construcción,DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD BASICO DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS,DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD 2D DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS
SENA,DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD 3D,Diseño asistido por computador - autocad 3d,"En la industria del diseño, el diseño asistido por ordenador es una herramienta necesaria. AutoCAD 3D permite crear diseños tridimensionales pero también crea dibujos sobre un plano. Este tipo de funciones son necesarias en profesiones como la arquitectura y la ingeniería, pero no sólo. Son muchos los profesionales que hacen un uso habitual de él.
AutoCAD 3d es un programa de CAD (diseño asistido por ordenador) utilizado para el modelado en 3D.  Es un programa conocido internacionalmente por sus amplias capacidades y posibilidades de edición, que hacen posible el dibujo digital de planos de edificios o la recreación de imágenes en 3D.
AutoCAD tiene una interfaz intuitiva que facilita el aprendizaje de su uso y el desarrollo de proyectos con mayor precisión, la sencillez del software permite a los profesionales de diferentes sectores implicarse en",40.0,Certificado de aprobación,Fórmate Digital,TI,Construcción,DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS,DISEÑO ASISTIDO POR COMPUTADOR - AUTOCAD 3D DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS
